Date,Open,High,Low,Close,Adj Close,Volume
2019-07-19,10.300000,10.320000,10.200000,10.200000,8.156234,38505600
2019-07-22,10.130000,10.170000,10.000000,10.020000,8.131887,36238600
2019-07-23,10.130000,10.220000,10.060000,10.170000,8.253621,74624800
2019-07-24,10.180000,10.350000,10.140000,10.330000,8.383472,61107500
2019-07-25,9.750000,9.780000,9.400000,9.560000,7.758567,133898600
2019-07-26,9.580000,9.650000,9.510000,9.570000,7.766682,47710200
2019-07-29,9.600000,9.680000,9.520000,9.600000,7.791030,36487800
2019-07-30,9.560000,9.580000,9.480000,9.550000,7.750453,36944700
2019-07-31,9.570000,9.580000,9.400000,9.530000,7.734220,56715500
2019-08-01,9.530000,9.590000,9.280000,9.310000,7.555676,58060800
2019-08-02,9.260000,9.340000,9.210000,9.280000,7.531328,41495200
2019-08-05,9.180000,9.270000,9.060000,9.230000,7.490750,47963400
2019-08-06,9.420000,9.510000,9.360000,9.480000,7.693642,51856100
2019-08-07,9.430000,9.560000,9.320000,9.530000,7.734220,43042400
2019-08-08,9.560000,9.620000,9.510000,9.560000,7.758567,25469000
2019-08-09,9.540000,9.580000,9.390000,9.450000,7.669296,38739700
2019-08-12,9.390000,9.430000,9.280000,9.290000,7.539445,23050400
2019-08-13,9.290000,9.420000,9.180000,9.260000,7.515098,28231500
2019-08-14,9.130000,9.150000,8.960000,9.000000,7.304091,45967400
2019-08-15,9.060000,9.060000,8.780000,8.860000,7.190471,40682800
2019-08-16,8.920000,9.000000,8.810000,8.960000,7.271627,27369900
2019-08-19,9.050000,9.100000,9.020000,9.030000,7.328436,21844000
2019-08-20,9.000000,9.070000,8.930000,8.960000,7.271627,25108600
2019-08-21,9.020000,9.050000,8.970000,9.040000,7.336552,20434800
2019-08-22,9.050000,9.140000,9.020000,9.040000,7.336552,20974700
2019-08-23,8.900000,8.990000,8.730000,8.770000,7.117430,44982300
2019-08-26,8.880000,8.910000,8.790000,8.820000,7.158009,31888200
2019-08-27,8.890000,8.910000,8.750000,8.760000,7.109315,23024400
2019-08-28,8.720000,9.040000,8.700000,9.000000,7.304091,35147300
2019-08-29,9.100000,9.140000,9.030000,9.120000,7.401478,22011000
2019-08-30,9.160000,9.230000,9.100000,9.170000,7.442058,32057900
2019-09-03,9.180000,9.200000,9.040000,9.100000,7.385248,26331000
2019-09-04,9.170000,9.230000,9.070000,9.200000,7.466403,27406400
2019-09-05,9.250000,9.400000,9.250000,9.340000,7.580023,36626800
2019-09-06,9.370000,9.410000,9.200000,9.340000,7.580023,29210100
2019-09-09,9.390000,9.650000,9.390000,9.540000,7.742337,48059400
2019-09-10,9.080000,9.420000,9.040000,9.420000,7.644948,70567300
2019-09-11,9.290000,9.430000,9.290000,9.420000,7.644948,34190300
2019-09-12,9.360000,9.480000,9.320000,9.410000,7.636835,35687700
2019-09-13,9.470000,9.590000,9.440000,9.450000,7.669296,27161300
2019-09-16,9.360000,9.450000,9.240000,9.300000,7.547561,50052600
2019-09-17,9.270000,9.310000,9.180000,9.280000,7.531328,27391200
2019-09-18,9.260000,9.360000,9.220000,9.250000,7.506983,24309400
2019-09-19,9.310000,9.330000,9.100000,9.100000,7.385248,28780700
2019-09-20,9.130000,9.300000,9.110000,9.170000,7.442058,37491300
2019-09-23,9.130000,9.230000,9.080000,9.160000,7.433940,22051100
2019-09-24,9.190000,9.230000,9.050000,9.110000,7.393363,33092500
2019-09-25,9.100000,9.230000,9.090000,9.200000,7.466403,20510300
2019-09-26,9.230000,9.230000,9.070000,9.140000,7.417710,26556300
2019-09-27,9.140000,9.600000,9.060000,9.080000,7.369015,32459500
2019-09-30,9.110000,9.210000,9.100000,9.160000,7.433940,21510000
2019-10-01,9.190000,9.240000,8.870000,8.900000,7.222934,39559500
2019-10-02,8.850000,8.860000,8.440000,8.610000,6.987579,68137000
2019-10-03,8.550000,8.710000,8.450000,8.710000,7.068737,40827900
2019-10-04,8.720000,8.760000,8.660000,8.740000,7.093083,27827400
2019-10-07,8.700000,8.790000,8.610000,8.680000,7.044389,29340400
2019-10-08,8.650000,8.660000,8.500000,8.540000,6.930771,31091200
2019-10-09,8.610000,8.640000,8.560000,8.560000,6.947001,16898500
2019-10-10,8.580000,8.650000,8.520000,8.620000,6.995697,28069600
2019-10-11,8.730000,8.870000,8.730000,8.780000,7.125546,34175700
2019-10-14,8.820000,8.840000,8.760000,8.820000,7.158009,24794500
2019-10-15,8.840000,9.100000,8.780000,9.070000,7.360899,29771700
2019-10-16,9.110000,9.190000,9.060000,9.070000,7.360899,27190300
2019-10-17,9.120000,9.140000,9.030000,9.110000,7.393363,28361200
2019-10-18,9.090000,9.320000,9.090000,9.290000,7.539445,42422900
2019-10-21,9.190000,9.240000,9.010000,9.030000,7.448707,33610200
2019-10-22,9.010000,9.140000,8.960000,9.070000,7.481701,35878500
2019-10-23,9.010000,9.210000,8.970000,9.210000,7.597188,44770400
2019-10-24,8.870000,8.890000,8.550000,8.600000,7.094008,120395200
2019-10-25,8.670000,8.750000,8.620000,8.720000,7.192994,51373600
2019-10-28,8.760000,8.760000,8.580000,8.610000,7.102255,39635300
2019-10-29,8.590000,8.710000,8.590000,8.640000,7.127003,36771800
2019-10-30,8.640000,8.640000,8.520000,8.540000,7.044515,28685300
2019-10-31,8.580000,8.600000,8.500000,8.590000,7.085759,29124100
2019-11-01,8.640000,8.930000,8.640000,8.890000,7.333223,55354900
2019-11-04,8.930000,9.050000,8.930000,9.000000,7.423961,46716500
